Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,11,28,2,1812.0,1750,1926.0,1905,US,158,,74.0,75,,21.0,22.0,PHL,BOS,280.0,,,0,,0,,,,,
1989,11,22,3,1133.0,1045,1252.0,1206,US,2676,,79.0,81,,46.0,48.0,SJC,SAN,417.0,,,0,,0,,,,,
1989,5,22,1,1943.0,1900,2057.0,1959,PI,1916,,74.0,59,,58.0,43.0,RDU,BWI,255.0,,,0,,0,,,,,
1989,12,12,2,1550.0,1515,1721.0,1640,EA,310,,91.0,85,,41.0,35.0,MCO,ATL,403.0,,,0,,0,,,,,
1989,12,4,1,1509.0,1430,1731.0,1650,EA,545,,142.0,140,,41.0,39.0,LGA,ATL,761.0,,,0,,0,,,,,
1989,1,11,3,1550.0,1550,1631.0,1620,HP,578,,41.0,30,,11.0,0.0,CID,DSM,104.0,,,0,,0,,,,,
1989,2,8,3,1713.0,1710,1928.0,1932,UA,380,,75.0,82,,-4.0,3.0,ORD,BUF,473.0,,,0,,0,,,,,
1989,2,19,7,2159.0,2155,2332.0,2351,UA,387,,93.0,116,,-19.0,4.0,ORD,FAR,557.0,,,0,,0,,,,,
1989,5,31,3,1600.0,1600,1735.0,1745,DL,867,,95.0,105,,-10.0,0.0,DCA,ATL,547.0,,,0,,0,,,,,
1989,8,12,6,2332.0,2335,24.0,26,UA,945,,52.0,51,,-2.0,-3.0,FAI,ANC,261.0,,,0,,0,,,,,
1989,9,6,3,720.0,720,837.0,834,NW,1229,,137.0,134,,3.0,0.0,LGA,MKE,738.0,,,0,,0,,,,,
1989,5,29,1,2215.0,2215,600.0,600,UA,30,,285.0,285,,0.0,0.0,LAX,IAD,2288.0,,,0,,0,,,,,
1989,12,14,4,1827.0,1825,1935.0,1920,AA,672,,68.0,55,,15.0,2.0,OKC,DFW,175.0,,,0,,0,,,,,
